name,medium,context,description,time,lat,lon,place
English,Billboard,Food,Billboard; Food,2017-07-20 19:52:16 EEST,,,GERMANY
"English,Unknown",Poster,Entertainment,Poster; Entertainment,2017-07-20 19:52:48 EEST,,,GERMANY
Chinese,Signage,Food,Signage; Food,2017-07-20 19:55:03 EEST,,,GERMANY
Italian,Signage,Food,Signage; Food,2017-07-20 19:55:50 EEST,,,GERMANY
Spanish,Signage,Food,Signage; Food,2017-07-20 19:56:30 EEST,,,GERMANY
Unknown,Signage,Food,Signage; Food,2017-07-20 19:57:08 EEST,,,GERMANY
English,Signage,Entertainment,Signage; Entertainment,2017-07-20 19:57:48 EEST,,,GERMANY
French,Signage,Food,Signage; Food,2017-07-20 19:58:44 EEST,,,GERMANY
Italian,Signage,Food,Signage; Food,2017-07-20 19:59:52 EEST,,,GERMANY
English,Signage,,Signage; ,2017-07-20 20:00:28 EEST,,,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-20 20:04:01 EEST,,,GERMANY
English,Billboard,Shopping,Billboard; Shopping,2017-07-20 20:05:11 EEST,,,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 20:05:59 EEST,,,GERMANY
English,Poster,Entertainment,Poster; Entertainment,2017-07-20 20:06:58 EEST,,,GERMANY
English,Poster,Entertainment,Poster; Entertainment,2017-07-20 20:08:46 EEST,,,GERMANY
English,Signage,Culture,Signage; Culture,2017-07-20 20:09:38 EEST,,,GERMANY
Chinese,Poster,Culture,Poster; Culture,2017-07-20 20:11:18 EEST,,,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 20:15:46 EEST,,,GERMANY
English,Sticker,,Sticker; ,2017-07-20 20:19:26 EEST,,,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-20 20:22:12 EEST,,,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-20 20:23:36 EEST,,,GERMANY
English,Billboard,Shopping,Billboard; Shopping,2017-07-20 20:24:24 EEST,,,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-20 20:27:12 EEST,,,GERMANY
English,Signage,Culture,Signage; Culture,2017-07-20 20:32:20 EEST,,,GERMANY
"English,French",Sticker,,Sticker; ,2017-07-20 20:33:54 EEST,51.34076684,12.38839439,GERMANY
English,Signage,Food,Signage; Food,2017-07-20 20:35:05 EEST,,,GERMANY
English,Poster,Entertainment,Poster; Entertainment,2017-07-20 17:42:42 EEST,51.33233393,12.33996307,GERMANY
Italian,Signage,Service,Signage; Service,2017-07-20 17:49:20 EEST,51.33771708,12.33223035,GERMANY
Spanish,Poster,Culture,Poster; Culture,2017-07-20 17:52:53 EEST,51.33806127,12.33188171,GERMANY
Arabic,Signage,Service,Signage; Service,2017-07-20 18:27:32 EEST,51.33774093,12.33221887,GERMANY
Italian,Signage,Service,Signage; Service,2017-07-20 19:13:18 EEST,51.3362728,12.33301071,GERMANY
English,Billboard,Food,Billboard; Food,2017-07-20 19:22:02 EEST,51.33498047,12.33056185,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-20 19:39:36 EEST,51.33243179,12.32788257,GERMANY
English,Sticker,Inspirational,Sticker; Inspirational,2017-07-20 19:56:38 EEST,51.32870017,12.3329491,GERMANY
Spanish,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-20 20:03:33 EEST,51.32843283,12.33284055,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-20 20:08:02 EEST,51.32821884,12.3282243,GERMANY
English,Graffiti,,Graffiti; ,2017-07-20 20:08:38 EEST,51.32817676,12.32824258,GERMANY
Denglish,Poster,Entertainment,Poster; Entertainment,2017-07-20 20:11:48 EEST,51.3291641,12.32743221,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 20:14:44 EEST,51.32933078,12.32689376,GERMANY
Denglish,Signage,Entertainment,Signage; Entertainment,2017-07-20 20:15:47 EEST,51.32923887,12.32612288,GERMANY
"English,Italian,French",Signage,Service,Signage; Service,2017-07-20 20:21:43 EEST,51.32910887,12.32554687,GERMANY
Latin,Poster,Culture,Poster; Culture,2017-07-20 20:23:38 EEST,51.32887405,12.3215561,GERMANY
"English,Japanese",Poster,Entertainment,Poster; Entertainment,2017-07-20 19:02:15 EEST,51.3375365,12.3340245,GERMANY
English,Sticker,Culture,Sticker; Culture,2017-07-20 19:17:43 EEST,51.3349883,12.3306059,GERMANY
English,Billboard,Shopping,Billboard; Shopping,2017-07-20 19:26:42 EEST,51.3337999,12.3286899,GERMANY
English,Sticker,Service,Sticker; Service,2017-07-20 19:31:57 EEST,51.3333288,12.32888,GERMANY
Italian,Poster,Food,Poster; Food,2017-07-20 19:43:44 EEST,51.3313171,12.3295251,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-20 19:53:08 EEST,51.3286099,12.3328991,GERMANY
